-1012604824,120.0,13.1475,2.6350000000000002
-1012604827#2,1.0,6.8975,0.0625
-10300180#2,90.0,14.095,1.8399999999999999
-1084193495,26.0,10.775,0.505
-1087199952#1,33.0,13.9075,0.6525
-1087467966,28.0,13.86,0.67
-108965116,40.0,13.6525,1.0474999999999999
-109507186#1,97.0,13.4825,2.0075000000000003
-1099726325,3.0,6.827500000000001,0.0625
-1104055507,64.0,13.965,1.5575
-1180057411,0.0,0.0,0.0
-1191368771,9.0,14.6775,0.1925
-1193617512,159.0,13.5225,3.3225
-1193766736,39.0,14.1575,0.8225
-1199234577,186.0,13.5225,3.8374999999999995
-1201709788,26.0,10.2925,0.525
-1201709792,68.0,13.84,1.37
-120424453#1,213.0,13.465,4.48
-120424462#1,211.0,13.580000000000002,4.3925
-123147244#2,22.0,10.275,0.445
-123147255#1,5.0,9.955,0.10500000000000001
-129375448#2,96.0,13.690000000000001,1.9775
-1328177418#1,49.0,13.845000000000002,0.99
-1328177419#1,49.0,13.845000000000002,0.99
-142419917#1,170.0,13.71,3.545
-142491877,41.0,13.745,0.9475
-1425303963,3.0,6.827500000000001,0.0625
-14315032,5.0,10.49,0.1
-144005341,37.0,13.915000000000001,0.7325
-144337552,98.0,13.5125,2.0125
-14888447,194.0,13.659999999999998,3.9475
-14888449#2,98.0,13.665000000000001,2.025
-153319185,61.0,13.899999999999999,1.3525
-16233355,81.0,19.1725,1.2999999999999998
-17103618,81.0,13.642499999999998,1.7149999999999999
-173530593#3,156.0,13.69,3.2325
-18817721,23.0,10.01,0.585
-222568385#2,132.0,13.887500000000001,2.7075000000000005
-237190956#1,189.0,13.93,3.84
-237190957#3,191.0,13.99,3.8500000000000005
-23978732#2,0.0,0.0,0.0
-23978747,31.0,13.805,0.6174999999999999
-23978799#2,65.0,13.9975,1.3575000000000002
-23978809,35.0,13.655,0.7725
-241074258,160.0,13.7575,3.335
-241074261,97.0,13.737499999999999,1.995
-241074262#2,96.0,13.754999999999999,1.9725000000000001
-241074268#2,126.0,13.94,2.6100000000000003
-241074269,63.0,13.715,1.3050000000000002
-24819641#3,44.0,13.717500000000001,0.895
-24898685,28.0,14.115,0.565
-25607735#2,57.0,13.9025,1.245
-25610550#2,162.0,13.575,3.3975
-25626576#1,0.0,0.0,0.0
-259882548#2,58.0,13.815,1.4625
-26133642#2,31.0,13.8175,0.615
-261601144,36.0,13.73,0.7224999999999999
-261601146#2,37.0,13.67,0.7875
-261601147,14.0,13.725,0.4025
-261601151,25.0,13.755,0.6025
-261601153#1,48.0,14.242499999999998,0.935
-261603746#2,5.0,9.955,0.10500000000000001
-261603748#2,23.0,10.3625,0.5825
-261604624#2,68.0,13.8525,1.37
-261736473#1,122.0,13.932500000000001,2.545
-26180560,186.0,13.885000000000002,3.7475
-262279465,207.0,13.677499999999998,4.215
-262279466#2,207.0,13.497499999999999,4.2875
-263433049#2,191.0,13.6425,3.9225000000000003
-27627119,133.0,13.7275,2.7874999999999996
-27653255#2,164.0,13.6725,3.4124999999999996
