scenario;num_trips;avg_travel_time_s;median_travel_time_s;std_travel_time_s;min_travel_time_s;max_travel_time_s;avg_fuel_per_trip_L;avg_fuel_per_km_L;avg_co2_per_trip_kg;avg_co_per_trip_g;avg_nox_per_trip_g
status quo;11;202.0909090909091;196.0;30.41859479152364;169.0;261.0;1.0891722716346155;0.8039714422211017;2.819783016363636;0.8056463636363638;1.4712290909090906
dynamic dwell times;11;185.27272727272728;187.0;22.51262272189053;152.0;221.0;0.9521140319055944;0.702802037221603;2.46495352;0.631779090909091;1.1410763636363637
request stops;11;185.36363636363637;189.0;18.260737812436425;151.0;215.0;0.9517839106206293;0.7025583585194423;2.464098225454545;0.6221227272727272;1.128642727272727
PTP;11;169.54545454545453;166.0;12.628251156542909;151.0;188.0;0.9186356162587412;0.6780899776036297;2.378281380909091;0.5813381818181819;1.0470899999999999
